tweetId	text_label	image_label	multimodal_label
1052236893373353984	O	N	N
453258618847379459	O	N	O
1307390972427407364	N	A	A
1206801245996036098	O	O	O
1197632805859139585	A	I	A
1194191924200116224	N	I	A
1198841517529538561	O	I	I
725641601096257537_1	O	N	N
725641601096257537_2	O	O	O
725641601096257537_3	O	N	N
1194245963692462082	I	N	O
1308156746884624384	O	I	I
1051019709406203904	O	A	N
453258905116606466	N	N	N
1194081265957212160	R	N	R
1307307184154382336	O	I	I
1193853031986663425	O	N	O
1193943697316077569	R	N	N
1311394668740050945	R	N	R
1194362135842701312	O	R	O
1052029241922113541	O	I	O
1187313816717144065	O	N	O
1200678240601423872	I	R	A
1311581200352448513_4	N	N	N
1311581200352448513_1	N	N	N
1311581200352448513_3	N	N	N
1311581200352448513_2	N	N	N
1201463161444085760	O	N	N
1187076626284269569	O	O	O
1198209800154288128_2	N	N	N
1198209800154288128_1	N	O	N
1311766690573758472	O	O	O
1197499579161292801	O	I	I
1313017598229921795	O	N	O
1194306926856855557	O	N	O
1313354349754683393	A	A	A
1052508973541277697	O	I	I
1193928473007575042	O	N	O
1052692230832455680	I	I	I
1205116414065102848	O	O	O
1188036298138947584	N	N	N
1193966416732598273	O	N	N
1308125330683703296	N	N	N
1206083363662106624	O	N	O
1308313730166464512	N	N	N
725662540949258241	O	O	O
651221524192456705	O	I	I
1207275955821187072_2	A	A	A
1207275955821187072_1	A	I	A
1207275955821187072_4	A	I	A
1207275955821187072_3	A	N	A
1312328550846996480	A	I	A
725636418756812801	O	O	O
453472261102899200	O	N	O
1193986815084113921	O	I	I
1200814746431156224	N	N	N
453264952141152256	O	O	O
1312810061601935360	N	N	N
725652878875090945	O	O	O
725595397004136448	O	N	O
1308096673395007489	I	I	I
1188414452196151296	O	N	O
1051828724612694016	O	R	R
649512527622221824	O	I	I
1052556238142066689	I	N	N
1193821515734757376	O	O	O
649618697418604544	O	O	O
1311364008264466432_3	N	N	N
1311364008264466432_2	N	N	N
1311364008264466432_4	N	N	N
1311364008264466432_1	N	N	N
1193912215017050120	O	N	O
1198339969850511366	R	I	R
1141982744349683712	O	O	O
1313328557569998854	O	O	O
650724420043018241	O	R	I
1313301463658102784	A	R	A
1205905517756989440	N	N	N
1198977528976818176	I	I	I
1198519120003813377	A	I	A
1205201182517604352	N	N	N
1198258040639819776_2	O	I	I
1198258040639819776_3	O	I	I
1198258040639819776_1	O	I	I
1051864514604539905	N	N	N
1187713902584438785_2	N	I	N
1187713902584438785_1	N	I	I
1187713902584438785_3	N	I	N
1187713902584438785_4	N	I	N
1052757758985027585	N	N	N
1197453753777086464	R	N	R
1052890956217888768	N	N	N
1186131081688424448	O	O	O
453399966875414528	O	N	O
1194136931396988934	O	I	I
1204679807516233728	N	O	N
1200854514896658433	O	N	O
453259417929408513	O	O	O
1200981747103612928	N	N	N
1312972578793885698	O	N	O
650918650065625088	O	I	I
1194054334214033408_2	O	I	O
1194054334214033408_4	O	O	O
1194054334214033408_3	O	N	O
1194054334214033408_1	O	I	O
1311650212893646849	O	O	O
1194153246312542208	R	R	R
1206728343263096832	N	N	N
1198626561001435136	O	N	N
1186767183180730368	N	N	N
1194019870209236992	A	I	A
1052530951295823878	N	I	R
1186743264768151552_1	O	N	O
1186743264768151552_3	O	O	O
1186743264768151552_2	O	O	O
1194265116214255616	O	N	O
1194342450707550209	O	N	N
1311869786096373760	O	O	O
1307763410738860033_1	O	I	I
1307763410738860033_2	O	I	I
1194236091035004931	O	N	N
1052041752939515905	A	I	A
1198016781375410176_1	O	N	O
1198016781375410176_3	O	N	N
1198016781375410176_2	O	O	O
1186327870416867328	O	O	O
1186255007638839297	R	A	A
1308188994581286912_4	R	R	R
1308188994581286912_3	R	R	R
1308188994581286912_2	R	N	R
1308188994581286912_1	R	R	R
1193985843876290561	I	N	I
1051732171910606848	A	I	A
1307692112708804609	A	I	A
651296652645560321	N	N	N
1051900334292029442_2	O	A	A
1051900334292029442_3	O	A	A
1051900334292029442_1	O	I	R
1194300051771793409	O	O	O
1200657792681619457	N	N	N
1193958036693553152	N	A	N
1307774795333996544	N	N	O
725642202093895680	O	N	O
1312806598432174084	I	I	I
1311248203136798721	N	N	N
1193979683223814144_1	O	O	O
1193979683223814144_2	O	N	O
1204848640948350977	N	N	N
453231941915930624	O	I	I
1187431228464607232	I	N	I
1141977259731050497	O	N	O
1204868160161288192	R	R	R
1193956391536517126	I	N	I
1202031608976543746	N	N	N
1187060459725307906	O	I	I
1194016839631687680	O	N	N
1051671277671469056	O	O	O
725615571044319232_1	O	N	N
1051962944899010560	A	A	A
1206871489691181056	O	N	O
1193846819576528896	O	O	O
1205637105537433603_1	N	I	I
1205637105537433603_3	N	I	I
1205637105537433603_4	N	I	O
1205637105537433603_2	N	N	O
1193914283656196099	O	I	I
1186600525984423936	O	I	A
1194164252409520129	O	N	I
1197549267231088640	O	O	O
1197514623915876352	O	O	O
1198947017843728384	N	N	N
1194263248310276098	O	R	O
1194009759126556673	R	R	R
1194287756660183041	N	N	N
453545069480402944	R	N	R
725591187445391360	O	N	O
1142023558220132352	O	O	O
1186107536308658178	O	I	I
1201893058687782913	A	N	A
453458885047623681	N	N	N
650537134076641280	A	O	A
1194154916656435200_3	N	N	O
1194154916656435200_2	N	O	N
1194154916656435200_4	N	N	O
1194154916656435200_1	N	O	I
1051285980336902145	N	N	N
1194133239386050561	O	I	I
1187906952824623104	N	N	N
1311978908733059072	O	N	N
1194193616819933185	A	R	R
1052711314164989952	N	N	N
1193869334478753793	N	N	N
1193851034638192640	O	N	O
1193855943055990785	O	N	O
1052101981609873409	N	O	O
1194005092443267072	O	O	O
453265760056791040	O	O	O
1198012665651761152_2	O	I	I
1198012665651761152_1	O	A	A
1198012665651761152_3	O	I	I
1205074068275372032	O	O	O
1201407095620489216	A	I	A
1052632613750493185	N	I	I
1187188889070395392	N	N	N
1141967974364000256	N	O	O
1311537079097217025	O	O	O
1052851781590544384	N	N	N
1050989552184250368	A	A	A
1188259403407020039	O	O	O
1199197887458086912	O	N	O
649455553937297408	O	N	N
1313043712277176320	I	N	I
1198900102871633922	O	O	O
1194201726863204353	N	N	N
1198651865954750465	I	I	I
1194271348731924483	O	N	O
1199150127073701889	N	N	N
1187337650845487104	O	N	O
1198657550155157504	I	I	I
453560446839455744	O	N	N
1186044334006849536	N	N	N
651320940383600640	N	N	N
1052813621028360192_3	R	R	R
1052813621028360192_1	R	R	R
1052813621028360192_2	R	R	R
1206553923265482755	N	I	N
1052838881886957568	N	N	N
725616821378908160	N	N	N
1206305261083877376_1	O	N	O
1206305261083877376_2	O	N	O
1052518905212796929	O	N	O
1194013640501927937	I	N	I
650635926201352192_2	O	A	A
650635926201352192_3	O	A	N
650635926201352192_4	O	I	O
650635926201352192_1	O	A	A
1311671823784869888_2	O	O	O
1311671823784869888_1	O	O	O
1142052076844998661	N	N	N
1194177631203274753_1	R	N	R
1194177631203274753_2	R	I	R
1194177631203274753_4	R	I	R
1194177631203274753_3	R	I	R
1202235455254781952	N	N	N
1187048897203658753	O	N	O
1051110828408225798	O	O	O
1194319465460064256	O	N	O
1198503616031731713	O	N	N
1308038424562147332	I	I	I
1207381308466507777	O	N	O
1307048004730454018	N	N	N
1307447550849495046	A	R	A
1307505025263034370	O	N	N
1199802423239413760	O	I	I
1311435856570388480	N	N	N
1193860977135144962	O	O	O
1201328656058126343	I	I	I
1197582941855064065	I	N	I
1052326730235609088	O	I	I
1051744489667260417	N	N	N
1052629267878748160	N	N	N
1193897981361217538	R	N	I
1193924330494803974	N	N	O
1307588083794227203_3	N	N	N
1307588083794227203_2	N	N	N
1307588083794227203_4	N	N	N
1307588083794227203_1	N	N	N
453259244372901888	N	N	N
1206349982577524736	O	N	N
1199369002029604864	N	N	N
1051937536854159360_3	O	N	N
1051937536854159360_2	O	R	R
1051937536854159360_1	O	I	I
1201734616547287042	O	N	O
1198929882392203265_2	R	R	R
1198929882392203265_1	R	R	R
1198929882392203265_3	R	R	R
1193882185008386048_2	O	N	O
1193882185008386048_1	O	N	O
1051081944597979137	O	O	O
1312133727112187904	N	N	N
1194126699970957312	A	R	A
1201914495087579137_2	N	N	O
1201914495087579137_1	N	N	N
1205354613865680896	O	O	O
1198360855580172289	R	N	R
725693818037743617	O	N	O
1051579919665455105	N	N	N
1186945491080232960_3	R	I	R
1186945491080232960_2	R	I	R
1186945491080232960_1	R	R	R
1200873314241142784_1	O	O	O
1200873314241142784_2	O	O	O
1198915005808177152	I	I	I
725680079368536066	A	N	N
1198843423580721152_1	N	I	I
1198843423580721152_2	N	I	R
1198843423580721152_4	N	N	R
1198843423580721152_3	N	N	N
1051468290277724165_2	O	N	O
1051468290277724165_3	O	O	O
1051468290277724165_1	O	O	O
1199089106816577539	A	N	A
1187836234586120192	N	N	N
1194181011732680705	N	N	N
1186616782548811782	N	N	N
1194351429500071938	N	N	O
1051876609983049728	R	R	R
1204723626966208513	N	N	N
453262228351754240	O	O	O
725603241740910592	O	I	I
725674833024028673	O	N	N
1193912909358882816	N	N	N
1197938078775750661	O	N	O
1194246798409379841_3	O	I	I
1194246798409379841_2	O	R	R
1194246798409379841_1	O	I	A
1197846197916049410_3	A	I	I
1197846197916049410_1	A	I	A
1197846197916049410_2	A	I	A
1197716597047037952	A	N	A
1052591797829029888_1	N	N	N
1194160017517223936_2	O	I	I
1194160017517223936_1	O	I	I
1311199451286044672	N	N	N
1202274355583033345_2	N	N	N
1202274355583033345_1	N	N	N
1193875661158584320	A	N	O
453387263951798272	O	O	O
1186719151928283137	O	N	O
1201193965313298434_1	I	I	I
1201193965313298434_2	I	I	I
1051336364598456320	O	O	O
650747447262736384	N	I	I
1206060195912110080	A	I	A
725697450892267520	O	N	O
1194162378574827520	I	R	A
1200795770980577280	O	O	O
1206532738641285121	O	N	O
1200916686716706816	O	O	O
1193855300757020673	O	N	O
1193862397448114183	A	N	O
1142026761053638656	O	N	O
1205161991997923328	O	N	O
725617019291357184	O	N	O
725666732472422401_1	O	O	O
725666732472422401_2	O	N	O
1205011059184197632_3	O	N	O
1205011059184197632_1	O	O	O
1205011059184197632_2	O	O	O
1205011059184197632_4	O	O	O
1052062102876119041	I	N	O
725606056991272964	O	N	O
1187739153678721027_4	R	N	A
1187739153678721027_3	R	I	R
1187739153678721027_2	R	R	R
1194066548014682113	O	N	O
1307395184074862592	N	N	N
1200637891619237888	O	O	O
1307702536825167874	O	O	O
1198100383526195201	O	O	O
1308864855043125249	O	N	N
651841410585464833	O	N	N
1197484456245972993	N	N	N
1051804835639697409	O	O	O
1311319021334208519	O	I	I
1187860543840948226	N	N	N
1200759951074959361	O	N	O
453319781622759424	O	N	N
1193989844441223169_2	O	I	I
1193989844441223169_1	O	N	I
1193989844441223169_4	O	I	I
1193989844441223169_3	O	I	I
725621126341222400	O	N	N
1187478226588831744	N	N	N
1198534430333255680	A	O	A
1051595044094906369_2	O	N	O
1051595044094906369_1	O	O	O
1205397069915144192	I	N	I
1052395799538102272	A	R	I
725587036128829440	O	N	O
1207019089782280192	O	N	O
1194303056793477121	O	N	O
725600475916193792	O	O	O
1200757948798119937_2	O	O	O
1200757948798119937_1	O	O	O
1200757948798119937_3	O	O	O
1186278521120940032	N	N	N
1205754703780429824	O	O	O
1199510295846309888	R	N	R
725585908028833792	O	N	O
1198704183660175361	A	I	A
1194232629685563392	N	I	N
1201175254032359425	I	O	O
1194142763262062592	N	N	N
725593756985114624	O	N	O
1198561804852637696	A	R	A
1307616250130960384	I	N	I
1194220500941180931	N	I	N
1199590291092779008	N	N	N
725657693298540544	O	N	O
1207049958668546048	I	I	N
1187788670457262081_3	O	I	I
1187788670457262081_1	O	I	I
1187788670457262081_2	O	I	I
1052727197209903105	N	N	N
1198673064252313602	I	N	I
1141998176473423872	O	N	O
1205503329448665088	O	O	O
1205952716037656584	A	I	A
1199073282491895808	O	I	O
1202213463436582913	A	I	A
1051854244951875586	A	N	O
1206864627935526912	O	N	O
1308834850586193925	O	N	O
1194165647233748993	O	N	N
1193908456463503360	I	I	I
1052574958692564992	R	N	R
1308255127829176324	O	O	O
1197968241689341952	O	N	O
1205332789169655810	O	O	O
1311340545458008064	O	I	I
1186503671091224577	N	O	O
649907672280641536	N	I	N
1186743140574793728	A	A	A
1186156142428377089	O	O	O
1193938237041053696	N	N	N
1311132211811409921	N	I	A
1193879831974420480	O	N	O
1199651384129396738	A	I	I
1206425144115236865	N	N	N
1199290044567171073	A	A	A
1052629315668578310	R	R	R
1051708079748861958	A	I	A
651265648618680320	R	R	N
1199372243635187712	R	I	R
1052272907378941953_3	A	I	A
1052272907378941953_1	A	I	I
1052272907378941953_2	A	O	A
1052272907378941953_4	A	I	A
1052930081562202112	N	N	N
649642384029011968	N	N	N
725592567778254848	O	O	O
1193889802392870913_3	O	N	I
1193889802392870913_1	O	I	I
1193889802392870913_4	O	N	I
1193889802392870913_2	O	I	I
725610562336514048	N	N	N
1207025255203659778	N	I	N
1051390223232487425	O	O	O
1193932309495459846	N	N	N
1205262748877242370	O	N	O
1051403487953580032	O	N	O
1312581943280701442	O	I	O
1201080523986210816	O	N	N
1187271429051617280	N	N	N
1306717128880467969	N	N	N
1051714410002157570	O	O	O
1307371169323126785	N	N	N
1205975359289733120	N	N	N
650465872734212096	A	I	A
1204747189681033218	N	N	N
1193849539133870080	O	O	O
1199606470670770176	N	N	N
1308403739011813376	A	A	A
1198315560561528838	O	N	N
651248543261286400	N	N	N
1187642728533942277	O	I	I
1198438901737758720	O	N	O
1141989701848641536	O	O	O
1051826224664694784	R	N	R
1194323476900917249	N	I	N
1193966050775162882	O	R	O
725676842422833152	O	N	O
1206596713068290052	A	I	I
1205714481671737344	O	O	O
1312024241089413120	N	N	N
1201003424629821440	O	O	O
1141976200778264576	O	N	O
453606076609753088	O	N	N
1194194071318872065	N	N	N
725607856536432640	O	N	O
453399772599443456	O	O	O
1306808441072234496	A	A	A
1194029050240614400	N	N	N
1206195086427480066	A	I	A
725596118441181184	O	N	O
1308374049433759744	O	N	O
1197617688723496960	N	N	N
1307278561481576448	O	O	O
453537554588250112	O	O	O
1141987590364704768	O	N	O
1308285805123629057	N	N	N
1188012181197119488	O	N	O
1201156578105319424	O	O	O
453462241015521280	O	N	O
651271933527351296	A	N	A
650607300906983424	I	I	I
1199228819137318912	O	I	N
651846599317028864	N	N	N
1199819279320920064	N	N	N
1200699693854068738	R	R	R
1194278065897033728	O	N	O
1052944856971206656	O	I	I
725646823709356033	O	O	O
1311604028732854272	O	O	O
453274962933993472	O	O	O
1052126433240342528	N	N	N
1051833426855292928	N	N	N
1312663750818713600	N	N	N
725660950465024000	N	O	N
1206575589311860737	N	N	N
1193873464140152832	O	N	O
1207423129523499013	A	N	A
649856196342620160	N	N	N
1051511767615049729_1	N	N	N
1051511767615049729_2	N	N	O
1194120397341351937	O	I	I
1312416152648405000	A	I	A
725572670012706816	O	I	I
1206822877254868992_1	N	N	N
1206822877254868992_4	N	N	N
1206822877254868992_3	N	A	A
1206822877254868992_2	N	N	N
1205591936276545537	N	N	N
1193865299591860224	A	N	A
1197662181954707456	N	N	N
1313529483442499585	N	N	N
650459678883844096_2	O	I	I
650459678883844096_1	O	I	I
1207074249208451072_3	N	I	I
1207074249208451072_1	N	I	N
1207074249208451072_2	N	I	N
1201853706653851648	N	I	N
1193971921601347585	O	I	O
1187160893949394944	N	A	O
1307949788235739136	N	I	N
1207360152682274817	N	N	N
1205505980211044352	I	I	I
1312740590300397571	R	I	R
1201773353708769280_3	O	N	N
1201773353708769280_1	O	N	N
1201773353708769280_2	O	N	N
1197782329978245121	O	N	O
1193980456796139528	O	N	O
1206311264273731584_2	O	N	O
1206311264273731584_1	O	I	I
1052445138943918082	A	I	A
1198579517960445952	A	I	A
1201388166281744384	O	N	O
1201482420949667841	O	I	O
1198473117984788480	O	N	O
1198254473124163585_2	O	I	I
1198254473124163585_3	O	I	O
1198254473124163585_1	O	I	I
1186136844800532480	O	N	O
1207424563774197760	N	I	N
1204792657651867650	N	N	O
1053000295511453696_2	R	A	R
1053000295511453696_4	R	R	R
1053000295511453696_1	R	R	R
1053000295511453696_3	R	R	R
1198330493973999616	N	N	N
649832912343273472	N	R	R
1199719538952151040	R	N	R
453437145274146816_3	O	N	O
453437145274146816_4	O	I	O
453437145274146816_1	O	N	O
453437145274146816_2	O	N	O
1051766398093938688	O	O	O
1199125396517793793	A	N	A
1052506478890737664	O	N	N
1311484749131788288	N	N	N
1198001550477668352	A	N	A
651871720333307904_3	I	I	I
651871720333307904_4	I	I	I
651871720333307904_1	I	I	I
651462951220613120	R	N	R
1194251237471985664	O	O	O
1206488985897439232	O	I	I
1202296321006325761	N	N	N
453377352752709632	O	I	I
725622907947388928	I	N	N
1194314534636474371	N	N	N
1197892774751854592	O	O	O
1193857047483150336	O	N	O
1197530228425478146	N	N	N
1193900070443212800	A	N	A
1311177783368876032	N	N	N
1199384398262624257	O	N	O
1199024841518657537	R	N	R
1193884543968841729	N	O	N
1201250642959974402	O	O	O
1206158622125895680_3	O	I	O
1206158622125895680_4	O	I	O
1206158622125895680_2	O	I	I
1206158622125895680_1	O	I	O
1186922401545760768_3	I	I	I
1186922401545760768_1	I	R	I
1186922401545760768_2	I	I	I
1193984517981257730_1	N	N	N
1193984517981257730_3	N	N	N
1193984517981257730_2	N	O	O
1198063127683686400	R	N	R
649345578787336192	O	O	O
1206843686690197506	N	N	O
725652398711119873	O	N	N
725570082114535424	O	I	I
453296398101127168	O	N	O
1186672576539648003	O	N	N
453305657068773376	I	O	O
1051840687400980481	O	N	N
725626878363619328	N	N	N
1193879659970215941	O	N	O
453411944087961600	N	N	N
1201043131136978944	O	O	O
1312046250976518145	I	I	I
651113329356726273	N	I	I
1142015749197914112	O	N	O
725612044867780608	O	N	O
1187129866673672192	N	N	N
1201022571610857473_1	O	O	O
1201022571610857473_2	O	O	O
1205799603838312453	A	N	A
1051684006356496384_3	O	I	I
1051684006356496384_1	O	I	I
1051684006356496384_2	O	I	I
1193981694640041986	O	I	I
650077395534352384	N	N	I
1312671278415982593	N	I	N
1307560118482087937	A	I	A
1186378914081464320_1	I	N	A
1186378914081464320_2	I	I	I
1186378914081464320_3	I	N	I
1186378914081464320_4	I	I	I
1311935270762295296	R	N	R
1311559545869799425	N	N	N
1198359122632159232	A	R	A
650191483325280257	O	O	O
1308106148525027330_2	O	N	O
1308106148525027330_1	O	N	O
1194106318547763201	I	N	O
1198033405813960709_3	N	N	N
1198033405813960709_1	N	N	N
1198033405813960709_4	N	N	N
1198033405813960709_2	N	N	N
1312044214939783169	N	I	N
1187408039495815169	N	N	N
1199769482794848263_3	I	R	R
1199769482794848263_2	I	R	R
1199769482794848263_4	I	I	I
1199769482794848263_1	I	A	I
1308067237220233216	N	N	N
1187942327194734593	O	O	O
1307560081794494465	N	N	N
1307532632314519558	O	O	O
1186179743823093761	O	I	I
725640134390087680	O	N	O
1194130709549604864	O	I	I
1194311909501214720	N	N	N
1204701001736953857	A	I	A
1051200890533765126	O	O	O
725607567087534080	O	O	O
1201833508370571266	O	N	O
1193858337097633793	O	N	O
1052974546175823872	O	N	N
651011553257496576	N	I	A
1051126286029135872_4	N	N	N
1051126286029135872_2	N	N	N
1051126286029135872_1	N	N	N
1051126286029135872_3	N	N	N
1142034850901319681	N	N	N
1312918465058148352	O	N	O
1200718905297248257	N	N	N
1312350145024061441	O	N	N
453406276803121152	N	N	N
1197813731302002688	O	O	O
649416680733474820	O	I	O
1141974584868200448	O	N	O
1312001534918615041	O	I	O
1199681975910576128	O	N	O
1193920405305737216_2	I	I	I
1193920405305737216_1	I	I	I
1193920405305737216_3	I	I	I
1193920405305737216_4	I	N	O
1194120907784105984	I	A	I
1312285348152705024_2	N	N	O
1312285348152705024_1	N	I	N
1312285348152705024_3	N	R	R
453443118071705600	O	O	O
1198299900657750016	I	I	I
1313068093896306689	I	I	I
1194323069617233923	N	N	O
1193966562904072194	O	N	N
651727758754713600_4	R	R	R
651727758754713600_1	R	R	R
651727758754713600_2	R	R	R
651727758754713600_3	R	I	I
1307418424608518145	O	I	I
1193845829632577536	N	N	N
1050921401354473472_1	N	N	N
1050921401354473472_2	N	N	N
1050921401354473472_3	N	N	N
1050921401354473472_4	N	N	N
1194011283802247170	N	N	O
1194289677110517761	O	N	N
1311410695020392449	N	N	N
1197436000936574981	O	N	N
1186552975831027713	N	N	N
1197566153993924610_3	N	N	N
1197566153993924610_2	N	N	N
1197566153993924610_1	N	N	N
1194316686662537216	N	N	N
1050882049425494016	N	N	N
1202194582911553537	O	N	N
453496405777465344	N	N	N
1201596598721101824	N	N	N
1051622799930998784	O	O	O
1205863611547209728_3	O	R	R
1205863611547209728_4	O	I	I
1205863611547209728_1	O	I	I
1205863611547209728_2	O	I	I
1194200693546110977	O	I	I
725595804459749376	O	N	O
1194253048903864321	N	N	N
1194304158532288514	N	N	N
1194308172409905152	O	N	O
1198179650457001985	O	O	O
1201501184399478784	I	I	I
1141984168714354689	O	N	O
1201444443158700032	I	A	A
1313441543383142404	N	N	N
1194310636941053953	O	N	N
1186354093289287681	O	O	O
1198089062189539329	O	N	O
1142062110555480064	O	N	O
1193857272549650434	O	N	O
1188389671308582913	O	N	O
1052224932363558914	O	N	O
453282618461941761	O	O	O
1194137749932130304	I	N	I
1206885876334239744	I	I	I
1141979325215989760	O	N	O
1194161191544864768	N	N	N
1193888846162878466	I	N	N
1205180510365990918	O	N	O
1311154443870711808	O	O	O
1312184756931452928	O	O	O
1050999615938551808	N	N	N
1205612773704638464	A	N	A
651156168639840257	A	N	R
453513659365748736	N	N	N
1204815608904175616	N	N	N
1194312642787233795	N	N	N
1201661966022008832	A	I	I
1313397973980676098	I	I	I
1188496278352732161	A	I	I
1052494328948449280	O	N	N
650583980006375424_3	N	N	N
650583980006375424_2	N	N	N
650583980006375424_1	N	N	N
1198720463582699520	O	N	O
453418913238626304	O	O	O
1311063595015233536	N	N	N
1194275763870150656	O	N	O
1201792601852129281	O	I	N
1052086461330350080	N	I	I
1311891635438055430	O	N	N
1199414873152786434	N	N	N
1051174507753467907	N	N	N
1306868251658457088	R	N	R
725695321033048064	N	N	N
725685878329344001	O	O	O
453257612080209920	O	O	O
1201692080684388355	N	N	N
1311626184908779520	R	R	R
1186480001841020929	N	N	N
1308491411218665472	N	N	N
1193974900530319360_2	N	N	N
1193974900530319360_1	N	N	N
650895523398983680	N	O	O
1051560399970193408	O	N	O
1201269456716087297	N	N	O
1051653827039035392	O	O	O
650942129875894272	O	I	O
1051188553730990080	N	N	N
1193849023544856576	O	N	O
1194155524817899520	N	N	N
1141995198626635777	O	N	O
650240754321883136	O	O	O
1194148469197410306	N	N	N
1306924414844444673	O	N	N
1194185471007580160_2	N	N	N
1194185471007580160_1	N	N	N
1141966580399640581_1	O	O	O
1141966580399640581_2	O	O	O
650263926400229376	O	N	O
1201754092391014402_4	N	I	I
1201754092391014402_2	N	I	O
1201754092391014402_1	N	N	N
1201754092391014402_3	N	A	A
1201086338021416960	O	N	O
1207249854847684608	O	R	R
453465768009535489	N	N	N
650339247795347456	N	N	N
1193852034014990336	O	O	O
1206510072240758784	I	I	I
1204770330247618560	I	I	I
1193855276354551808_3	I	N	I
1193855276354551808_4	I	N	I
1193855276354551808_2	I	N	I
453504168670822400_3	O	N	O
453504168670822400_4	O	I	O
453504168670822400_1	O	N	O
453504168670822400_2	O	N	O
1206445807064535041	O	N	O
1141979885394698240	O	N	O
1188194206138941441	I	O	I
1201061854707093505	O	O	O
650677901004832769	I	N	O
1308432854938943488	O	O	O
1194189501167521792	O	I	O
1053014395306041344	N	N	N
1052176059595194368	O	N	O
1311224055933140992	O	N	O
1188531724914835456	N	N	N
1194295828652920837	O	N	O
1312853635424903169	A	I	A
1051494870697893888	O	N	O
1199399899080601600	O	I	I
725630419505418240	O	N	N
1307693889365647361	N	N	N
1051720259340767232	O	A	A
1199736139105656834	O	I	I
725593957040791552	O	O	O
1194366331103170560	O	I	I
1193949292156850179	O	N	O
1051894770853920768	A	N	A
651129767362629632	A	I	A
1312482736423092225	N	I	I
1052660203169206273	O	I	I
1141986178087960576	O	N	O
1204749730342932480_3	N	N	N
1204749730342932480_4	N	N	N
1204749730342932480_2	N	N	N
1204749730342932480_1	N	N	N
1051040805035622401_3	N	R	N
1051040805035622401_1	N	O	N
1051040805035622401_2	N	I	N
1051040805035622401_4	N	N	N
1307978728463642626	N	O	N
1206684534571487236	N	N	N
1194050049921224705_3	I	O	O
1194050049921224705_1	I	O	I
1194050049921224705_4	I	I	I
1194050049921224705_2	I	I	I
1052877247584116737	O	A	A
1205736367856242688	O	I	I
1197299350399062016	N	N	N
650386680936038401	N	N	N
725648417251151872	O	O	O
1186067333590192128	O	I	O
1205159465235951616	O	O	O
1311087535112818688_2	O	O	O
1311087535112818688_1	O	O	O
1311087535112818688_3	O	O	O
1311087535112818688_4	O	O	O
1198455342226694145	O	O	O
649884080876687360_1	O	I	I
649884080876687360_2	O	I	I
1142042513441775616_1	N	N	N
1142042513441775616_2	N	N	N
651059421703995392	R	O	R
650474310025408512	A	I	A
1186968481436262400	O	O	O
1312673609786232832	O	N	O
1187762232144338944	N	N	N
1194346368292327424	R	N	R
1193883599914840065	O	N	I
1051434724961517568	O	O	O
1199259242903023616_1	O	O	O
1199259242903023616_2	O	N	O
1199259242903023616_3	O	N	O
1141970927590281216	N	O	O
1051543876039835648	N	I	N
1194123636140961792	O	I	I
